Fiscal Year,Waste Type,Amount (Tons),,Year,Total Waste,Diverted Waste,Diversion Rate
FY14,Landfill,510.6,,FY14,"1,225.90",715.3,58.35%
FY14,Compost,70.3,,FY15,"1,202.73",729,60.61%
FY14,Recycling,510,,FY16,"1,145.00",605,52.84%
FY14,Green,106,,FY17,"1,106.90",546.57,49.38%
FY14,Other,29,,FY18,"1,075.99",554.06,51.49%
FY15,Landfill,473.73,,FY19,832,390,46.88%
FY15,Compost,70,,FY20,631,197,31.22%
FY15,Recycling,510,,FY21,468,305,65.17%
FY15,Green,125,,FY22,"1,173.99",723.04,61.59%
FY15,Other,24,,FY23,825.77,297.86,36.07%
FY16,Landfill,540,,FY24,"1,016.02",536.02,52.76%
FY16,Compost,70,,,,,
FY16,Recycling,367,,,,,
FY16,Green,151,,,,,
FY16,Other,17,,,,,
FY17,Landfill,560.33,,,,,
FY17,Compost,6,,,,,
FY17,Recycling,284.51,,,,,
FY17,Green,237,,,,,
FY17,Other,19.06,,,,,
FY18,Landfill,521.93,,,,,
FY18,Compost,66.31,,,,,
FY18,Recycling,198.51,,,,,
FY18,Green,263.35,,,,,
FY18,Other,25.89,,,,,
FY19,Landfill,442,,,,,
FY19,Compost,76,,,,,
FY19,Recycling,172,,,,,
FY19,Green,122,,,,,
FY19,Other,20,,,,,
FY20,Landfill,434,,,,,
FY20,Compost,31,,,,,
FY20,Recycling,49,,,,,
FY20,Green,106,,,,,
FY20,Other,11,,,,,
FY21,Landfill,163,,,,,
FY21,Compost,6,,,,,
FY21,Recycling,9,,,,,
FY21,Green,287,,,,,
FY21,Other,3,,,,,
FY22,Landfill,450.95,,,,,
FY22,Compost,55,,,,,
FY22,Recycling,292.5,,,,,
FY22,Green,373.54,,,,,
FY22,Other,2,,,,,
FY23,Landfill,527.91,,,,,
FY23,Compost,76.5,,,,,
FY23,Recycling,67.5,,,,,
FY23,Green,124.5,,,,,
FY23,Other,29.36,,,,,
FY24,Landfill,480,,,,,
FY24,Compost,94.34,,,,,
FY24,Recycling,206.45,,,,,
FY24,Green,222,,,,,
FY24,Other,13.24,,,,,
